City_Name,City_Code,Date,Cumulative_verified_cases,Cumulated_recovered,Cumulated_deaths,Cumulated_number_of_tests,Cumulated_number_of_diagnostic_tests,colour,final_score,Latitude,Longitude,Ecolour,Verified_cases,Recovered,Deaths,Tests,Diagnostic_tests
אבו גוש,472,01/04/2020,<15,0,0,55,54,,,31.806353,35.1088651,,<15,0,0,55,54
אבו גוש,472,01/05/2020,<15,0,0,506,499,,,31.806353,35.1088651,,0,0,0,451,445
אבו גוש,472,01/06/2020,<15,<15,0,713,701,,,31.806353,35.1088651,,0,7.5,0,207,202
אבו גוש,472,01/07/2020,<15,<15,0,1103,1085,,,31.806353,35.1088651,,0,0,0,390,384
אבו גוש,472,01/08/2020,32,<15,0,1984,1952,,,31.806353,35.1088651,,24.5,0,0,881,867
אבו גוש,472,01/09/2020,100,52,0,3213,3150,צהוב,5.7,31.806353,35.1088651,Yellow,68,44.5,0,1229,1198
אבו גוש,472,01/10/2020,237,170,0,5351,5216,כתום,7.5,31.806353,35.1088651,Orange,137,118,0,2138,2066
אבו גוש,472,01/11/2020,256,231,0,6606,6393,ירוק,3,31.806353,35.1088651,Green,19,61,0,1255,1177
אבו גוש,472,01/12/2020,283,258,0,8113,7856,ירוק,4.5,31.806353,35.1088651,Green,27,27,0,1507,1463
אבו גוש,472,01/01/2021,496,406,<15,11538,11217,אדום,8,31.806353,35.1088651,Red,213,148,7.5,3425,3361
אבו גוש,472,01/02/2021,962,838,<15,15909,15484,כתום,6.5,31.806353,35.1088651,Orange,466,432,0,4371,4267
אבו גוש,472,01/03/2021,1212,1120,<15,18394,17898,כתום,6.5,31.806353,35.1088651,Orange,250,282,0,2485,2414
אבו גוש,472,01/04/2021,1275,1225,<15,21236,20670,ירוק,4.3,31.806353,35.1088651,Green,63,105,0,2842,2772
אבו גוש,472,01/05/2021,1293,1272,<15,23206,22605,ירוק,3.4,31.806353,35.1088651,Green,18,47,0,1970,1935
אבו גוש,472,01/06/2021,1295,1280,<15,25742,25129,ירוק,2,31.806353,35.1088651,Green,2,8,0,2536,2524
אבו גוש,472,01/07/2021,1298,1284,<15,27301,26687,ירוק,2,31.806353,35.1088651,Green,3,4,0,1559,1558
אבו גוש,472,01/08/2021,1307,1285,<15,31517,30901,ירוק,3.7,31.806353,35.1088651,Green,9,1,0,4216,4214
אבו גוש,472,01/09/2021,1378,1317,<15,36089,35453,אדום,7.5,31.806353,35.1088651,Red,71,32,0,4572,4552
אבו גוש,472,01/10/2021,1507,1440,<15,41454,40765,צהוב,5.7,31.806353,35.1088651,Yellow,129,123,0,5365,5312
אבו גוש,472,01/11/2021,1571,1546,<15,48338,47466,ירוק,3.6,31.806353,35.1088651,Green,64,106,0,6884,6701
אבו גוש,472,01/12/2021,1590,1567,<15,54836,53850,ירוק,3.2,31.806353,35.1088651,Green,19,21,0,6498,6384
אבו גוש,472,01/01/2022,1637,1595,<15,61710,60606,צהוב,5.8,31.806353,35.1088651,Yellow,47,28,0,6874,6756
אבו גוש,472,01/02/2022,4324,3475,<15,78202,76068,אדום,10,31.806353,35.1088651,Red,2687,1880,0,16492,15462
אבו גוש,472,01/03/2022,4866,4738,<15,83431,80668,צהוב,4.8,31.806353,35.1088651,Yellow,542,1263,0,5229,4600
אבו גוש,472,01/04/2022,5020,4921,<15,87603,84264,אדום,8.6,31.806353,35.1088651,Red,154,183,0,4172,3596
אבו גוש,472,01/05/2022,5137,5096,<15,89905,86367,צהוב,5.1,31.806353,35.1088651,Yellow,117,175,0,2302,2103
אבו גוש,472,01/06/2022,5239,5197,<15,93351,89710,כתום,7,31.806353,35.1088651,Orange,102,101,0,3446,3343
אור עקיבא,1020,01/04/2020,<15,0,0,93,93,,,32.5090151,34.9195677,,5239,5197,7.5,93351,89710
אור עקיבא,1020,01/05/2020,<15,<15,0,443,429,,,32.5090151,34.9195677,,0,7.5,0,350,336
אור עקיבא,1020,01/06/2020,<15,<15,0,723,704,,,32.5090151,34.9195677,,0,0,0,280,275
אור עקיבא,1020,01/07/2020,17,<15,0,1855,1818,,,32.5090151,34.9195677,,9.5,0,0,1132,1114
אור עקיבא,1020,01/08/2020,165,104,0,4235,4101,,,32.5090151,34.9195677,,148,96.5,0,2380,2283
אור עקיבא,1020,01/09/2020,219,174,0,5625,5432,כתום,6.1,32.5090151,34.9195677,Orange,54,70,0,1390,1331
אור עקיבא,1020,01/10/2020,490,309,0,8509,8193,אדום,8,32.5090151,34.9195677,Red,271,135,0,2884,2761
אור עקיבא,1020,01/11/2020,671,609,<15,11478,11027,צהוב,4.8,32.5090151,34.9195677,Yellow,181,300,7.5,2969,2834
אור עקיבא,1020,01/12/2020,704,669,<15,13760,13270,ירוק,2.1,32.5090151,34.9195677,Green,33,60,0,2282,2243
אור עקיבא,1020,01/01/2021,814,728,<15,17354,16831,כתום,6.2,32.5090151,34.9195677,Orange,110,59,0,3594,3561
אור עקיבא,1020,01/02/2021,1286,1100,<15,23261,22643,כתום,7,32.5090151,34.9195677,Orange,472,372,0,5907,5812
אור עקיבא,1020,01/03/2021,1549,1411,16,27279,26586,כתום,6.6,32.5090151,34.9195677,Orange,263,311,8.5,4018,3943
אור עקיבא,1020,01/04/2021,1645,1592,19,30947,30210,ירוק,2.9,32.5090151,34.9195677,Green,96,181,3,3668,3624
אור עקיבא,1020,01/05/2021,1662,1619,20,32717,31965,ירוק,1.6,32.5090151,34.9195677,Green,17,27,1,1770,1755
אור עקיבא,1020,01/06/2021,1670,1626,20,34213,33453,ירוק,2,32.5090151,34.9195677,Green,8,7,0,1496,1488
אור עקיבא,1020,01/07/2021,1673,1630,20,35533,34769,ירוק,2.2,32.5090151,34.9195677,Green,3,4,0,1320,1316
אור עקיבא,1020,01/08/2021,1789,1665,20,39617,38840,אדום,7.6,32.5090151,34.9195677,Red,116,35,0,4084,4071
אור עקיבא,1020,01/09/2021,2325,2048,23,47465,46573,אדום,7.9,32.5090151,34.9195677,Red,536,383,3,7848,7733
אור עקיבא,1020,01/10/2021,2884,2727,26,56084,55023,צהוב,4.7,32.5090151,34.9195677,Yellow,559,679,3,8619,8450
