City_Name,City_Code,Date,Cumulative_verified_cases,Cumulated_recovered,Cumulated_deaths,Cumulated_number_of_tests,Cumulated_number_of_diagnostic_tests,colour,final_score,zone,avg_salery,arb_jew,tzfifot,population,Verified Proportion,Verified Cases,Cumulative Verified Cases Proportion,Recovered,Deaths,Tests,Diagnostic Tests,death_Rate
אום אל-פחם,2710,03/11/2020,0,0,0,0,0,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0,0,0,0,0,0
אום אל-פחם,2710,03/12/2020,0,0,0,0,0,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0,0,0,15,15,0
אום אל-פחם,2710,3/13/2020,0,0,0,15,15,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0,0,0,0,0,0
אום אל-פחם,2710,3/14/2020,0,0,0,15,15,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0,0,0,0,0,0
אום אל-פחם,2710,3/15/2020,0,0,0,15,15,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0,0,0,0,0,0
אום אל-פחם,2710,3/16/2020,0,0,0,15,15,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0,0,0,0,0,0
אום אל-פחם,2710,3/17/2020,0,0,0,15,15,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0,0,0,0,0,0
אום אל-פחם,2710,3/18/2020,0,0,0,15,15,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0,0,0,0,0,0
אום אל-פחם,2710,3/19/2020,0,0,0,15,15,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0,0,0,2,2,0
אום אל-פחם,2710,3/20/2020,0,0,0,17,17,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0,0,0,3,3,0
אום אל-פחם,2710,3/21/2020,0,0,0,20,20,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0,0,0,11,11,0
אום אל-פחם,2710,3/22/2020,0,0,0,31,31,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0,0,0,4,4,0
אום אל-פחם,2710,3/23/2020,0,0,0,35,35,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0,0,0,7,7,0
אום אל-פחם,2710,3/24/2020,0,0,0,42,42,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0.000271823,15,0,0,0,22,22,0
אום אל-פחם,2710,3/25/2020,15,0,0,64,64,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0.000271823,0,0,8,8,0
אום אל-פחם,2710,3/26/2020,15,0,0,72,72,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0.000271823,0,0,16,16,0
אום אל-פחם,2710,3/27/2020,15,0,0,88,88,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0.000271823,0,0,18,18,0
אום אל-פחם,2710,3/28/2020,15,0,0,106,106,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0.000271823,0,0,15,15,0
אום אל-פחם,2710,3/29/2020,15,0,0,121,121,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0.000271823,0,0,14,14,0
אום אל-פחם,2710,3/30/2020,15,0,0,135,135,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0.000271823,0,0,73,73,0
אום אל-פחם,2710,3/31/2020,15,0,0,208,208,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0.000271823,0,0,27,27,0
אום אל-פחם,2710,04/01/2020,15,0,0,235,235,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,1.81E-05,1,0.000271823,0,0,49,47,0
אום אל-פחם,2710,04/02/2020,16,0,0,284,282,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,3.62E-05,2,0.000289944,0,0,56,55,0
אום אל-פחם,2710,04/03/2020,18,0,0,340,337,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,1.81E-05,1,0.000326187,0,0,32,32,0
אום אל-פחם,2710,04/04/2020,19,0,0,372,369,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,1.81E-05,1,0.000344309,15,0,49,48,0
אום אל-פחם,2710,04/05/2020,20,15,0,421,417,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,3.62E-05,2,0.00036243,0,0,42,40,0
אום אל-פחם,2710,04/06/2020,22,15,0,463,457,NULL,NULL,חיפה,"5,651",ערבי,"2,126",55183,0,0,0.000398674,0,0,42,41,0
