type,geometry.type,geometry.coordinates,properties.ENG_ABR,properties.HEB_NAME,properties.GILYON_NUM,Zero_col
Feature,Polygon,"[[[17.0003135  40.00143623]
  [21.00006033 40.00143623]
  [21.10005399 40.00143623]
  [21.10005399 44.00118303]
  [21.00006033 44.00118303]
  [19.00018691 44.00118303]
  [17.0003135  44.00118303]
  [17.0003135  40.00143623]]]",YTV,יטבתה,25,0.0
Feature,Polygon,"[[[22.99993372 75.99915757]
  [28.99955396 75.99915757]
  [28.99955396 80.49887275]
  [22.99993372 80.49887275]
  [22.99993372 79.9989044 ]
  [22.99993372 75.99915757]]]",ZFT,צפת,2,4.0
Feature,Polygon,"[[[22.99993372 79.9989044 ]
  [19.00018691 79.9989044 ]
  [19.00018691 75.99915757]
  [22.99993372 75.99915757]
  [22.99993372 79.9989044 ]]]",NHR,נהריה,1,3.0
Feature,Polygon,"[[[19.00018691 75.99915757]
  [19.00018691 71.99941077]
  [22.99993372 71.99941077]
  [22.99993372 75.99915757]
  [19.00018691 75.99915757]]]",HEF,חיפה,3,2.0
Feature,Polygon,"[[[22.99993372 75.99915757]
  [22.99993372 71.99941077]
  [26.99968055 71.99941077]
  [28.99955396 71.99941077]
  [28.99955396 75.99915757]
  [22.99993372 75.99915757]]]",TVR,טבריה,4,1.0
Feature,Polygon,"[[[14.00050339 60.0001703 ]
  [11.00069328 60.0001703 ]
  [11.00069328 56.0004235 ]
  [15.00044008 56.0004235 ]
  [15.00044008 60.0001703 ]
  [14.00050339 60.0001703 ]]]",NRM,נירים,13,
Feature,Polygon,"[[[15.00044008 60.0001703 ]
  [15.00044008 56.0004235 ]
  [19.00018691 56.0004235 ]
  [19.00018691 60.0001703 ]
  [15.00044008 60.0001703 ]]]",BSV,באר שבע,14,
Feature,Polygon,"[[[19.00018691 60.0001703 ]
  [19.00018691 56.0004235 ]
  [24.99980713 56.0004235 ]
  [25.69976283 56.0004235 ]
  [25.69976283 60.0001703 ]
  [19.00018691 60.0001703 ]]]",ARD,ערד,15-16,
Feature,Polygon,"[[[22.99993372 71.99941077]
  [19.00018691 71.99941077]
  [18.0002502  71.99941077]
  [18.0002502  67.99966394]
  [22.99993372 67.99966394]
  [22.99993372 71.99941077]]]",NTN,נתניה,5,
Feature,Polygon,"[[[26.99968055 67.99966394]
  [26.99968055 71.99941077]
  [22.99993372 71.99941077]
  [22.99993372 67.99966394]
  [26.99968055 67.99966394]]]",BSH,בית שאן,6,
Feature,Polygon,"[[[22.99993372 63.99991713]
  [25.69976283 63.99991713]
  [26.99968055 63.99991713]
  [26.99968055 67.99966394]
  [22.99993372 67.99966394]
  [22.99993372 63.99991713]]]",YRH,יריחו,9,
Feature,Polygon,"[[[15.00044008 60.0001703 ]
  [19.00018691 60.0001703 ]
  [19.00018691 63.99991713]
  [17.0003135  63.99991713]
  [16.7003325  63.99991713]
  [14.00050339 63.99991713]
  [14.00050339 60.0001703 ]
  [15.00044008 60.0001703 ]]]",ASQ,אשקלון,10,
Feature,Polygon,"[[[25.69976283 60.0001703 ]
  [25.69976283 63.99991713]
  [22.99993372 63.99991713]
  [19.00018691 63.99991713]
  [19.00018691 60.0001703 ]
  [25.69976283 60.0001703 ]]]",YRS,ירושלים,11-12,
Feature,Polygon,"[[[18.0002502  67.99966394]
  [17.0003135  67.99966394]
  [16.7003325  67.99966394]
  [16.7003325  63.99991713]
  [17.0003135  63.99991713]
  [19.00018691 63.99991713]
  [22.99993372 63.99991713]
  [22.99993372 67.99966394]
  [18.0002502  67.99966394]]]",TLY,"תל-אביב,יפו",7-8,
Feature,Polygon,"[[[11.00069328 56.0004235 ]
  [11.00069328 52.00067667]
  [14.70045908 52.00067667]
  [15.00044008 52.00067667]
  [15.00044008 56.0004235 ]
  [11.00069328 56.0004235 ]]]",NZN,נצנה,17,
Feature,Polygon,"[[[19.00018691 52.00067667]
  [19.00018691 56.0004235 ]
  [15.00044008 56.0004235 ]
  [15.00044008 52.00067667]
  [19.00018691 52.00067667]]]",SDB,שדה בקר,18,
Feature,Polygon,"[[[19.00018691 52.00067667]
  [22.99993372 52.00067667]
  [24.99980713 52.00067667]
  [24.99980713 56.0004235 ]
  [19.00018691 56.0004235 ]
  [19.00018691 52.00067667]]]",DMN,דימונה,19-20,
Feature,Polygon,"[[[22.99993372 48.00092986]
  [22.99993372 52.00067667]
  [19.00018691 52.00067667]
  [19.00018691 48.00092986]
  [22.99993372 48.00092986]]]",EYV,עין יהב,22,
Feature,Polygon,"[[[14.70045908 52.00067667]
  [14.70045908 48.00092986]
  [15.00044008 48.00092986]
  [19.00018691 48.00092986]
  [19.00018691 52.00067667]
  [15.00044008 52.00067667]
  [14.70045908 52.00067667]]]",MZR,מצפה רמון,21,
Feature,Polygon,"[[[17.0003135  40.00143623]
  [17.0003135  36.0016894 ]
  [21.00006033 36.0016894 ]
  [21.00006033 40.00143623]
  [17.0003135  40.00143623]]]",ELT,אילת,26,
Feature,Polygon,"[[[19.00018691 44.00118303]
  [19.00018691 48.00092986]
  [15.00044008 48.00092986]
  [15.00044008 44.00118303]
  [17.0003135  44.00118303]
  [19.00018691 44.00118303]]]",HSG,הר שגיא,23,
Feature,Polygon,"[[[21.10005399 44.00118303]
  [22.99993372 44.00118303]
  [22.99993372 48.00092986]
  [19.00018691 48.00092986]
  [19.00018691 44.00118303]
  [21.00006033 44.00118303]
  [21.10005399 44.00118303]]]",PRN,פארן,24,
